date,league,home_team,away_team,score
2001-07-28,Bundesliga,Leverkusen,Wolfsburg,2–1
2001-07-28,Bundesliga,Energie Cottbus,Hamburger SV,1–0
2001-07-28,Bundesliga,Dortmund,Nürnberg,2–0
2001-07-29,Bundesliga,St. Pauli,Hertha BSC,0–0
2001-08-04,Bundesliga,Wolfsburg,St. Pauli,1–1
2001-08-04,Bundesliga,Werder Bremen,Energie Cottbus,3–2
2001-08-04,Bundesliga,Köln,1860 Munich,2–0
2001-08-04,Bundesliga,Hamburger SV,Stuttgart,2–0
2001-08-04,Bundesliga,Hansa Rostock,Leverkusen,0–3
2001-08-04,Bundesliga,Bayern Munich,Schalke 04,3–0
2001-08-04,Bundesliga,Hertha BSC,Dortmund,0–2
2001-08-05,Bundesliga,Nürnberg,Freiburg,2–0
2001-08-05,Bundesliga,Kaiserslautern,Gladbach,3–2
2001-08-11,Bundesliga,Leverkusen,Bayern Munich,1–1
2001-08-11,Bundesliga,Kaiserslautern,Köln,2–1
2001-08-11,Bundesliga,Stuttgart,Werder Bremen,0–0
2001-08-11,Bundesliga,1860 Munich,Hamburger SV,1–1
2001-08-11,Bundesliga,Energie Cottbus,Nürnberg,1–0
2001-08-11,Bundesliga,Freiburg,Hertha BSC,1–3
2001-08-11,Bundesliga,Dortmund,Wolfsburg,4–0
2001-08-12,Bundesliga,Gladbach,Schalke 04,0–0
2001-08-12,Bundesliga,St. Pauli,Hansa Rostock,0–1
2001-08-18,Bundesliga,Hamburger SV,Kaiserslautern,2–3
2001-08-18,Bundesliga,Bayern Munich,St. Pauli,2–0
2001-08-18,Bundesliga,Werder Bremen,1860 Munich,1–3
2001-08-18,Bundesliga,Schalke 04,Leverkusen,3–3
2001-08-18,Bundesliga,Wolfsburg,Freiburg,1–1
2001-08-18,Bundesliga,Hansa Rostock,Dortmund,0–2
2001-08-18,Bundesliga,Nürnberg,Stuttgart,2–4
2001-08-19,Bundesliga,Köln,Gladbach,0–2
2001-08-19,Bundesliga,Hertha BSC,Energie Cottbus,2–3
2001-08-21,Bundesliga,Schalke 04,Hansa Rostock,3–1
2001-09-08,Bundesliga,Stuttgart,Hertha BSC,0–0
2001-09-08,Bundesliga,Dortmund,Bayern Munich,0–2
2001-09-08,Bundesliga,1860 Munich,Nürnberg,1–0
2001-09-08,Bundesliga,Freiburg,Hansa Rostock,1–1
2001-09-08,Bundesliga,St. Pauli,Schalke 04,0–2
2001-09-08,Bundesliga,Gladbach,Leverkusen,0–1
2001-09-08,Bundesliga,Energie Cottbus,Wolfsburg,3–3
2001-09-09,Bundesliga,Köln,Hamburger SV,2–1
2001-09-09,Bundesliga,Kaiserslautern,Werder Bremen,2–1
2001-09-15,Bundesliga,Hamburger SV,Gladbach,3–3
2001-09-15,Bundesliga,Werder Bremen,Köln,1–1
2001-09-15,Bundesliga,Wolfsburg,Stuttgart,0–2
2001-09-15,Bundesliga,Nürnberg,Kaiserslautern,0–2
2001-09-15,Bundesliga,Bayern Munich,Freiburg,1–0
2001-09-15,Bundesliga,Schalke 04,Dortmund,1–0
2001-09-15,Bundesliga,Leverkusen,St. Pauli,3–1
2001-09-16,Bundesliga,Hertha BSC,1860 Munich,2–1
2001-09-16,Bundesliga,Hansa Rostock,Energie Cottbus,0–0
2001-09-22,Bundesliga,Energie Cottbus,Bayern Munich,0–3
2001-09-22,Bundesliga,Stuttgart,Hansa Rostock,2–1
2001-09-22,Bundesliga,Freiburg,Schalke 04,2–0
2001-09-22,Bundesliga,Köln,Nürnberg,1–2
2001-09-22,Bundesliga,Kaiserslautern,Hertha BSC,4–1
2001-09-22,Bundesliga,Dortmund,Leverkusen,1–1
2001-09-22,Bundesliga,Hamburger SV,Werder Bremen,0–4
2001-09-23,Bundesliga,Gladbach,St. Pauli,2–2
2001-09-23,Bundesliga,1860 Munich,Wolfsburg,2–1
2001-09-29,Bundesliga,Hertha BSC,Köln,3–0
2001-09-29,Bundesliga,St. Pauli,Dortmund,1–2
2001-09-29,Bundesliga,Wolfsburg,Kaiserslautern,2–0
2001-09-29,Bundesliga,Werder Bremen,Gladbach,1–0
2001-09-29,Bundesliga,Nürnberg,Hamburger SV,0–0
2001-09-29,Bundesliga,Hansa Rostock,1860 Munich,2–2
2001-09-29,Bundesliga,Schalke 04,Energie Cottbus,2–0
2001-09-30,Bundesliga,Bayern Munich,Stuttgart,4–0
2001-09-30,Bundesliga,Leverkusen,Freiburg,4–1
2001-10-13,Bundesliga,Kaiserslautern,Hansa Rostock,3–1
2001-10-13,Bundesliga,Gladbach,Dortmund,1–2
2001-10-13,Bundesliga,1860 Munich,Bayern Munich,1–5
2001-10-13,Bundesliga,Stuttgart,Schalke 04,3–0
2001-10-13,Bundesliga,Freiburg,St. Pauli,2–2
2001-10-13,Bundesliga,Hamburger SV,Hertha BSC,4–0
2001-10-13,Bundesliga,Energie Cottbus,Leverkusen,2–3
2001-10-14,Bundesliga,Köln,Wolfsburg,0–4
2001-10-14,Bundesliga,Werder Bremen,Nürnberg,3–0
2001-10-20,Bundesliga,Bayern Munich,Kaiserslautern,4–1
2001-10-20,Bundesliga,Hertha BSC,Werder Bremen,3–1
2001-10-20,Bundesliga,Schalke 04,1860 Munich,1–0
2001-10-20,Bundesliga,Hansa Rostock,Köln,3–0
2001-10-20,Bundesliga,St. Pauli,Energie Cottbus,4–0
2001-10-20,Bundesliga,Nürnberg,Gladbach,1–2
2001-10-20,Bundesliga,Leverkusen,Stuttgart,4–1
2001-10-21,Bundesliga,Dortmund,Freiburg,0–2
2001-10-21,Bundesliga,Wolfsburg,Hamburger SV,0–1
2001-10-27,Bundesliga,Energie Cottbus,Dortmund,0–2
2001-10-27,Bundesliga,Stuttgart,St. Pauli,2–0
2001-10-27,Bundesliga,Gladbach,Freiburg,2–2
2001-10-27,Bundesliga,Kaiserslautern,Schalke 04,0–0
2001-10-27,Bundesliga,Werder Bremen,Wolfsburg,1–0
2001-10-27,Bundesliga,Köln,Bayern Munich,0–2
2001-10-27,Bundesliga,1860 Munich,Leverkusen,1–4
2001-10-28,Bundesliga,Nürnberg,Hertha BSC,1–3
2001-10-28,Bundesliga,Hamburger SV,Hansa Rostock,0–1
2001-11-03,Bundesliga,Bayern Munich,Hamburger SV,3–0
2001-11-03,Bundesliga,Wolfsburg,Nürnberg,5–0
2001-11-03,Bundesliga,Schalke 04,Köln,3–1
2001-11-03,Bundesliga,St. Pauli,1860 Munich,0–3
2001-11-03,Bundesliga,Dortmund,Stuttgart,1–0
2001-11-03,Bundesliga,Leverkusen,Kaiserslautern,2–1
2001-11-03,Bundesliga,Hansa Rostock,Werder Bremen,0–1
2001-11-04,Bundesliga,Freiburg,Energie Cottbus,3–1
2001-11-04,Bundesliga,Hertha BSC,Gladbach,3–0
2001-11-17,Bundesliga,1860 Munich,Dortmund,1–3
2001-11-17,Bundesliga,Köln,Leverkusen,1–2
2001-11-17,Bundesliga,Stuttgart,Freiburg,3–0
2001-11-17,Bundesliga,Hamburger SV,Schalke 04,0–0
2001-11-17,Bundesliga,Kaiserslautern,St. Pauli,5–1
2001-11-17,Bundesliga,Hertha BSC,Wolfsburg,2–0
2001-11-17,Bundesliga,Werder Bremen,Bayern Munich,1–0
2001-11-18,Bundesliga,Nürnberg,Hansa Rostock,2–0
2001-11-18,Bundesliga,Gladbach,Energie Cottbus,0–0
2001-11-24,Bundesliga,St. Pauli,Köln,1–2
2001-11-24,Bundesliga,Wolfsburg,Gladbach,3–1
